Configuracion,Algoritmo,LongitudPromedioRuta,TiempoPromedio,TasaExito,TotalEjecuciones
d0.0_distclose_a0.1_g0.9_rbasic,astar,3.0,0.0000,1.000,9
d0.0_distclose_a0.1_g0.9_rbasic,qlearning,3.0,0.0201,1.000,9
d0.0_distclose_a0.3_g0.95_rbasic,astar,3.0,0.0007,1.000,9
d0.0_distclose_a0.3_g0.95_rbasic,qlearning,3.0,0.0198,1.000,9
d0.0_distmedium_a0.1_g0.9_rbasic,astar,6.7,0.0000,1.000,9
d0.0_distmedium_a0.1_g0.9_rbasic,qlearning,7.0,0.0522,1.000,9
d0.0_distmedium_a0.3_g0.95_rbasic,astar,6.7,0.0000,1.000,9
d0.0_distmedium_a0.3_g0.95_rbasic,qlearning,7.0,0.0562,1.000,9
d0.0_distfar_a0.1_g0.9_rbasic,astar,10.0,0.0000,1.000,9
d0.0_distfar_a0.1_g0.9_rbasic,qlearning,10.1,0.0871,1.000,9
d0.0_distfar_a0.3_g0.95_rbasic,astar,10.0,0.0001,1.000,9
d0.0_distfar_a0.3_g0.95_rbasic,qlearning,10.3,0.0823,1.000,9
d0.1_distclose_a0.1_g0.9_rbasic,astar,3.2,0.0000,1.000,9
d0.1_distclose_a0.1_g0.9_rbasic,qlearning,3.2,0.0177,1.000,9
d0.1_distclose_a0.3_g0.95_rbasic,astar,3.1,0.0000,1.000,9
d0.1_distclose_a0.3_g0.95_rbasic,qlearning,3.1,0.0202,1.000,9
d0.1_distmedium_a0.1_g0.9_rbasic,astar,7.0,0.0000,1.000,9
d0.1_distmedium_a0.1_g0.9_rbasic,qlearning,7.1,0.0480,1.000,9
d0.1_distmedium_a0.3_g0.95_rbasic,astar,7.1,0.0000,1.000,9
d0.1_distmedium_a0.3_g0.95_rbasic,qlearning,7.1,0.0547,1.000,9
d0.1_distfar_a0.1_g0.9_rbasic,astar,10.4,0.0001,1.000,9
d0.1_distfar_a0.1_g0.9_rbasic,qlearning,10.7,0.0907,1.000,9
d0.1_distfar_a0.3_g0.95_rbasic,astar,10.4,0.0000,1.000,9
d0.1_distfar_a0.3_g0.95_rbasic,qlearning,10.6,0.0927,1.000,9
d0.2_distclose_a0.1_g0.9_rbasic,astar,3.4,0.0000,1.000,9
d0.2_distclose_a0.1_g0.9_rbasic,qlearning,3.4,0.0208,1.000,9
d0.2_distclose_a0.3_g0.95_rbasic,astar,3.3,0.0000,1.000,9
d0.2_distclose_a0.3_g0.95_rbasic,qlearning,3.3,0.0225,1.000,9
d0.2_distmedium_a0.1_g0.9_rbasic,astar,7.6,0.0014,1.000,9
d0.2_distmedium_a0.1_g0.9_rbasic,qlearning,7.6,0.0546,1.000,9
d0.2_distmedium_a0.3_g0.95_rbasic,astar,7.6,0.0000,1.000,9
d0.2_distmedium_a0.3_g0.95_rbasic,qlearning,7.7,0.0573,1.000,9
d0.2_distfar_a0.1_g0.9_rbasic,astar,10.9,0.0002,1.000,9
d0.2_distfar_a0.1_g0.9_rbasic,qlearning,10.9,0.0885,1.000,9
d0.2_distfar_a0.3_g0.95_rbasic,astar,11.0,0.0003,1.000,9
d0.2_distfar_a0.3_g0.95_rbasic,qlearning,11.1,0.0839,1.000,9
d0.3_distclose_a0.1_g0.9_rbasic,astar,3.1,0.0000,1.000,9
d0.3_distclose_a0.1_g0.9_rbasic,qlearning,3.1,0.0169,1.000,9
d0.3_distclose_a0.3_g0.95_rbasic,astar,3.3,0.0000,1.000,9
d0.3_distclose_a0.3_g0.95_rbasic,qlearning,3.3,0.0215,1.000,9
d0.3_distmedium_a0.1_g0.9_rbasic,astar,8.0,0.0001,1.000,9
d0.3_distmedium_a0.1_g0.9_rbasic,qlearning,7.9,0.0567,1.000,9
d0.3_distmedium_a0.3_g0.95_rbasic,astar,8.8,0.0000,1.000,9
d0.3_distmedium_a0.3_g0.95_rbasic,qlearning,8.8,0.0631,1.000,9
d0.3_distfar_a0.1_g0.9_rbasic,astar,11.8,0.0004,1.000,9
d0.3_distfar_a0.1_g0.9_rbasic,qlearning,11.8,0.1526,1.000,9
d0.3_distfar_a0.3_g0.95_rbasic,astar,12.2,0.0003,1.000,9
d0.3_distfar_a0.3_g0.95_rbasic,qlearning,12.2,0.1100,1.000,9
